Summary
[Software Information]
Software Name:;LabSolutions RF
Version:;1,11
[Data Information]
Data is:;Modified
Sample Name
Sample ID
Option
Analyst
Date/Time:;12/03/2021 14:25:52
Comments
[Instrument Information]
Instrument Name:;RF-6000
Instrument Type:;RF-6000 Series
Model (S/N):;RF-6000 (A40245300193SA)

Parameter
[Measurement]
Spectrum Type:;Emission
EX Wavelength:;280,0 nm
EM Wavelength Start:;285,0 nm
EM Wavelength End:;450,0 nm
Data Interval:;1,0 nm
Scan Speed:;6000 nm/min
[Instrument]
EX Bandwidth:;10,0 nm
EM Bandwidth:;10,0 nm
Sensitivity:;Auto
[Attachment]
Attachment:;None
[Auto Print]
Auto Print:;No
Report File:;

3uM 2.fs2f - CorrectionData
Wavelength nm.;Intensity
285,0;142900,728
286,0;131126,071
287,0;121569,325
288,0;112229,680
289,0;104481,110
290,0;101353,809
291,0;100543,672
292,0;102311,913
293,0;107032,171
294,0;113074,849
295,0;121003,525
296,0;130868,017
297,0;140833,319
298,0;152950,800
299,0;164328,582
300,0;176154,660
301,0;189074,675
302,0;201990,666
303,0;214268,717
304,0;226792,348
305,0;241096,769
306,0;255140,519
307,0;268811,259
308,0;284256,855
309,0;298837,598
310,0;313069,424
311,0;329817,868
312,0;345902,841
313,0;361369,266
314,0;379089,975
315,0;394224,812
316,0;406647,842
317,0;423335,338
318,0;438265,137
319,0;449630,156
320,0;464861,926
321,0;477362,226
322,0;485505,528
323,0;499245,241
324,0;511485,825
325,0;518664,257
326,0;527799,442
327,0;537819,373
328,0;542692,759
329,0;547193,268
330,0;554687,877
331,0;557280,270
332,0;559604,573
333,0;562233,763
334,0;561341,751
335,0;560721,425
336,0;561949,293
337,0;556834,367
338,0;552311,310
339,0;549991,134
340,0;542898,619
341,0;536971,295
342,0;533320,204
343,0;525305,658
344,0;514873,120
345,0;509144,265
346,0;498421,263
347,0;487209,908
348,0;479504,053
349,0;469370,112
350,0;458964,648
351,0;449652,722
352,0;436849,912
353,0;425320,683
354,0;415965,449
355,0;404109,239
356,0;392441,575
357,0;382119,216
358,0;371173,813
359,0;357965,187
360,0;347614,191
361,0;336251,674
362,0;324143,209
363,0;314022,238
364,0;303573,981
365,0;293566,362
366,0;283457,030
367,0;273350,309
368,0;263005,481
369,0;253111,731
370,0;244335,704
371,0;234965,810
372,0;226634,066
373,0;217929,289
374,0;208705,944
375,0;200480,516
376,0;193317,810
377,0;184577,530
378,0;176790,671
379,0;170433,985
380,0;163173,613
381,0;156246,777
382,0;149902,024
383,0;143508,265
384,0;136383,350
385,0;130593,320
386,0;124649,590
387,0;118497,355
388,0;113434,601
389,0;108156,296
390,0;102902,193
391,0;98504,781
392,0;93895,652
393,0;88998,763
394,0;85074,699
395,0;81267,409
396,0;77116,125
397,0;73190,458
398,0;69353,112
399,0;65679,555
400,0;62539,012
401,0;59696,039
402,0;56536,020
403,0;53765,979
404,0;51306,104
405,0;48732,764
406,0;46393,168
407,0;44371,369
408,0;42151,163
409,0;40126,938
410,0;38438,081
411,0;36683,672
412,0;34740,214
413,0;33191,511
414,0;31507,685
415,0;30086,450
416,0;28780,209
417,0;27407,013
418,0;26139,902
419,0;25058,044
420,0;23843,561
421,0;22735,421
422,0;21795,430
423,0;20690,406
424,0;19799,541
425,0;19030,431
426,0;18045,961
427,0;17239,718
428,0;16534,513
429,0;15742,705
430,0;14987,588
431,0;14313,893
432,0;13706,786
433,0;13083,103
434,0;12581,811
435,0;12018,757
436,0;11434,259
437,0;10927,743
438,0;10416,109
439,0;9953,885
440,0;9608,464
441,0;9137,026
442,0;8792,642
443,0;8396,157
444,0;8052,331
445,0;7730,917
446,0;7386,680
447,0;7093,808
448,0;6778,333
449,0;6524,419
450,0;6244,641
