Summary
[Software Information]
Software Name:;LabSolutions RF
Version:;1,11
[Data Information]
Data is:;Modified
Sample Name
Sample ID
Option
Analyst
Date/Time:;12/03/2021 14:20:57
Comments
[Instrument Information]
Instrument Name:;RF-6000
Instrument Type:;RF-6000 Series
Model (S/N):;RF-6000 (A40245300193SA)

Parameter
[Measurement]
Spectrum Type:;Emission
EX Wavelength:;280,0 nm
EM Wavelength Start:;285,0 nm
EM Wavelength End:;450,0 nm
Data Interval:;1,0 nm
Scan Speed:;6000 nm/min
[Instrument]
EX Bandwidth:;10,0 nm
EM Bandwidth:;10,0 nm
Sensitivity:;Auto
[Attachment]
Attachment:;None
[Auto Print]
Auto Print:;No
Report File:;

control 5.fs2f - CorrectionData
Wavelength nm.;Intensity
285,0;253144,846
286,0;229345,354
287,0;208080,579
288,0;186528,630
289,0;166662,662
290,0;155417,068
291,0;148673,519
292,0;145593,290
293,0;147783,457
294,0;153462,874
295,0;161550,452
296,0;172701,329
297,0;184715,204
298,0;199009,849
299,0;212388,925
300,0;226396,922
301,0;241794,924
302,0;256440,210
303,0;270359,058
304,0;284372,892
305,0;301524,522
306,0;317453,708
307,0;332158,425
308,0;350004,484
309,0;366427,233
310,0;381940,766
311,0;401216,932
312,0;419364,586
313,0;436941,094
314,0;456098,362
315,0;473534,993
316,0;487542,478
317,0;507092,578
318,0;523549,384
319,0;536090,503
320,0;552912,977
321,0;567313,657
322,0;576232,288
323,0;591187,661
324,0;605896,752
325,0;613409,771
326,0;623628,443
327,0;634686,026
328,0;639975,668
329,0;646234,886
330,0;654117,537
331,0;656529,353
332,0;657811,171
333,0;661399,700
334,0;659832,729
335,0;659078,515
336,0;660502,599
337,0;654513,447
338,0;648956,626
339,0;646398,574
340,0;637458,756
341,0;630105,319
342,0;626073,575
343,0;616572,034
344,0;604058,843
345,0;596630,264
346,0;584231,965
347,0;571307,883
348,0;562013,405
349,0;549815,218
350,0;536957,833
351,0;526708,352
352,0;511901,397
353,0;497678,931
354,0;486623,650
355,0;472580,376
356,0;459216,337
357,0;447210,387
358,0;433971,925
359,0;418587,377
360,0;406081,072
361,0;392723,990
362,0;378621,737
363,0;366241,779
364,0;354495,381
365,0;342726,922
366,0;330752,402
367,0;318701,744
368,0;307038,265
369,0;295479,878
370,0;284817,292
371,0;273766,452
372,0;263747,078
373,0;254262,280
374,0;243548,375
375,0;233743,049
376,0;224664,826
377,0;214969,153
378,0;205927,596
379,0;197897,950
380,0;190131,086
381,0;181665,640
382,0;174429,013
383,0;166675,656
384,0;158599,887
385,0;151475,526
386,0;144926,759
387,0;137904,932
388,0;131625,691
389,0;125546,648
390,0;119540,595
391,0;114307,884
392,0;109017,350
393,0;103377,296
394,0;98481,864
395,0;93915,455
396,0;89294,120
397,0;84825,787
398,0;80615,053
399,0;76242,712
400,0;72375,922
401,0;68984,786
402,0;65315,687
403,0;62167,746
404,0;59455,798
405,0;56298,689
406,0;53559,534
407,0;51199,113
408,0;48665,132
409,0;46424,071
410,0;44398,654
411,0;42045,908
412,0;40049,568
413,0;38205,444
414,0;36346,792
415,0;34596,555
416,0;33231,059
417,0;31555,658
418,0;30164,994
419,0;28745,500
420,0;27398,091
421,0;26138,740
422,0;25050,396
423,0;23786,653
424,0;22641,288
425,0;21747,101
426,0;20730,968
427,0;19755,778
428,0;18922,703
429,0;18115,730
430,0;17185,276
431,0;16444,494
432,0;15671,402
433,0;14998,776
434,0;14380,470
435,0;13758,976
436,0;13089,595
437,0;12585,550
438,0;11968,521
439,0;11413,587
440,0;10974,027
441,0;10477,558
442,0;10043,772
443,0;9610,630
444,0;9197,552
445,0;8796,007
446,0;8434,965
447,0;8084,060
448,0;7807,677
449,0;7540,139
450,0;7210,426
