Summary
[Software Information]
Software Name:;LabSolutions RF
Version:;1,11
[Data Information]
Data is:;Modified
Sample Name
Sample ID
Option
Analyst
Date/Time:;12/03/2021 14:47:37
Comments
[Instrument Information]
Instrument Name:;RF-6000
Instrument Type:;RF-6000 Series
Model (S/N):;RF-6000 (A40245300193SA)

Parameter
[Measurement]
Spectrum Type:;Emission
EX Wavelength:;280,0 nm
EM Wavelength Start:;285,0 nm
EM Wavelength End:;450,0 nm
Data Interval:;1,0 nm
Scan Speed:;6000 nm/min
[Instrument]
EX Bandwidth:;10,0 nm
EM Bandwidth:;10,0 nm
Sensitivity:;Auto
[Attachment]
Attachment:;None
[Auto Print]
Auto Print:;No
Report File:;

20uM 2.fs2f - CorrectionData
Wavelength nm.;Intensity
285,0;28822,889
286,0;26578,816
287,0;24853,290
288,0;23215,763
289,0;22066,516
290,0;21957,389
291,0;22397,671
292,0;23488,628
293,0;25200,157
294,0;27196,828
295,0;29694,677
296,0;32804,930
297,0;36041,512
298,0;39884,904
299,0;43602,958
300,0;47643,315
301,0;52042,515
302,0;56500,584
303,0;60560,384
304,0;65231,712
305,0;70378,381
306,0;75675,370
307,0;80644,762
308,0;86566,376
309,0;92120,973
310,0;97635,230
311,0;104023,876
312,0;109775,460
313,0;115919,799
314,0;122597,974
315,0;128093,151
316,0;133409,265
317,0;139952,632
318,0;145424,506
319,0;150207,844
320,0;156001,042
321,0;160709,407
322,0;164255,437
323,0;169627,424
324,0;174792,136
325,0;177840,600
326,0;181317,918
327,0;185673,329
328,0;187654,528
329,0;189883,900
330,0;192732,354
331,0;194131,618
332,0;195606,903
333,0;196561,342
334,0;196765,894
335,0;197118,500
336,0;197961,033
337,0;196481,838
338,0;195555,696
339,0;195247,793
340,0;193086,262
341,0;191424,181
342,0;190720,013
343,0;188317,287
344,0;185002,146
345,0;183074,225
346,0;179574,227
347,0;176166,249
348,0;174020,655
349,0;170674,011
350,0;167370,803
351,0;164030,333
352,0;159840,595
353,0;155813,683
354,0;152415,297
355,0;148377,402
356,0;144560,299
357,0;140958,222
358,0;137028,991
359,0;132709,369
360,0;128802,119
361,0;124954,974
362,0;120718,611
363,0;117029,585
364,0;113491,753
365,0;109906,530
366,0;106134,921
367,0;102677,446
368,0;98815,383
369,0;95476,368
370,0;92186,645
371,0;88901,296
372,0;85788,055
373,0;82659,721
374,0;79550,948
375,0;76175,666
376,0;73565,986
377,0;70533,468
378,0;67582,366
379,0;65260,271
380,0;62649,709
381,0;59896,758
382,0;57621,450
383,0;55085,514
384,0;52418,987
385,0;50288,114
386,0;48111,331
387,0;45776,459
388,0;43837,669
389,0;41942,752
390,0;39861,547
391,0;38187,331
392,0;36461,308
393,0;34575,642
394,0;33037,244
395,0;31623,865
396,0;30106,203
397,0;28589,849
398,0;27190,434
399,0;25684,344
400,0;24483,911
401,0;23408,632
402,0;22231,992
403,0;21155,613
404,0;20161,959
405,0;19232,398
406,0;18309,843
407,0;17524,157
408,0;16653,236
409,0;15859,499
410,0;15250,854
411,0;14506,463
412,0;13798,899
413,0;13124,816
414,0;12504,391
415,0;11954,438
416,0;11402,944
417,0;10906,624
418,0;10405,759
419,0;9989,545
420,0;9523,224
421,0;9085,788
422,0;8695,235
423,0;8271,960
424,0;7903,566
425,0;7615,285
426,0;7284,242
427,0;6898,994
428,0;6622,657
429,0;6332,563
430,0;6047,842
431,0;5831,961
432,0;5538,758
433,0;5305,810
434,0;5072,270
435,0;4811,143
436,0;4607,846
437,0;4446,426
438,0;4245,419
439,0;4042,938
440,0;3888,635
441,0;3722,917
442,0;3545,880
443,0;3448,028
444,0;3294,374
445,0;3132,692
446,0;3014,633
447,0;2903,995
448,0;2775,939
449,0;2673,952
450,0;2542,234
