"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1,11"
"[Data Information]"
"Data is:","Modified"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","11/03/2021 14:05:50"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245300193SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","Emission"
"EX Wavelength:","280,0 nm"
"EM Wavelength Start:","285,0 nm"
"EM Wavelength End:","450,0 nm"
"Data Interval:","1,0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","10,0 nm"
"EM Bandwidth:","10,0 nm"
"Sensitivity:","Auto"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"5uM 3.fs2f - CorrectionData"
"Wavelength nm.","Intensity"
285,0,132714,441
286,0,122296,496
287,0,112527,802
288,0,103540,638
289,0,95948,754
290,0,92831,151
291,0,91885,173
292,0,93119,909
293,0,97308,178
294,0,102979,485
295,0,110090,357
296,0,119256,897
297,0,128435,545
298,0,139107,908
299,0,149909,369
300,0,160557,311
301,0,172228,186
302,0,183932,703
303,0,194928,703
304,0,206168,217
305,0,219771,202
306,0,232115,490
307,0,244752,238
308,0,258913,892
309,0,272030,508
310,0,284976,824
311,0,300507,147
312,0,315248,500
313,0,329331,802
314,0,345106,831
315,0,359028,431
316,0,370441,541
317,0,386449,034
318,0,399944,972
319,0,410509,840
320,0,424708,894
321,0,436112,597
322,0,443895,503
323,0,455831,594
324,0,468088,171
325,0,474110,849
326,0,482819,458
327,0,491676,244
328,0,496456,571
329,0,500414,620
330,0,507387,734
331,0,509596,838
332,0,511129,662
333,0,514145,819
334,0,512465,908
335,0,512403,700
336,0,513325,400
337,0,508156,305
338,0,504390,805
339,0,502532,259
340,0,495489,150
341,0,489708,838
342,0,486564,933
343,0,479178,932
344,0,469506,103
345,0,463746,537
346,0,453784,982
347,0,443521,225
348,0,436577,977
349,0,427296,663
350,0,417372,516
351,0,409283,757
352,0,397374,148
353,0,386826,425
354,0,377905,440
355,0,367476,324
356,0,356383,263
357,0,347172,153
358,0,336946,690
359,0,324855,954
360,0,315160,902
361,0,304725,878
362,0,293867,566
363,0,284438,387
364,0,275111,643
365,0,265885,097
366,0,256677,592
367,0,247075,904
368,0,237704,666
369,0,229198,006
370,0,220846,158
371,0,212474,699
372,0,204951,803
373,0,197274,771
374,0,188941,845
375,0,181066,033
376,0,174407,031
377,0,167041,624
378,0,159758,211
379,0,153839,467
380,0,147515,310
381,0,141157,229
382,0,135178,922
383,0,129279,520
384,0,123182,992
385,0,117931,627
386,0,112568,628
387,0,106977,974
388,0,102356,500
389,0,97562,112
390,0,92792,739
391,0,88764,098
392,0,84665,857
393,0,80301,274
394,0,76701,837
395,0,73195,540
396,0,69501,427
397,0,66081,722
398,0,62563,580
399,0,59447,232
400,0,56566,408
401,0,53741,760
402,0,51026,901
403,0,48486,375
404,0,46347,800
405,0,44047,399
406,0,41813,955
407,0,39978,786
408,0,38067,177
409,0,36183,621
410,0,34741,071
411,0,32942,809
412,0,31358,129
413,0,29957,455
414,0,28486,415
415,0,27072,388
416,0,25985,963
417,0,24732,458
418,0,23656,210
419,0,22559,414
420,0,21457,926
421,0,20622,239
422,0,19649,223
423,0,18668,431
424,0,17779,066
425,0,17121,609
426,0,16365,926
427,0,15504,599
428,0,14954,793
429,0,14244,183
430,0,13576,927
431,0,12977,876
432,0,12397,433
433,0,11833,402
434,0,11368,461
435,0,10839,817
436,0,10365,296
437,0,9862,543
438,0,9476,892
439,0,9037,318
440,0,8672,886
441,0,8293,607
442,0,7985,105
443,0,7618,226
444,0,7322,750
445,0,6987,736
446,0,6722,254
447,0,6453,363
448,0,6169,964
449,0,5929,831
450,0,5680,964
